2023-02-11|08:22:14|gym membership|Planet Fitness|-25.00
2023-06-19|14:05:33|freelance payment|Upwork|800.00
2023-09-03|10:48:21|groceries|Walmart|-120.65
2023-12-27|18:12:09|dinner|Chipotle|-14.30
2024-01-15|09:35:50|internet bill|Spectrum|-70.00
2024-03-22|11:10:45|invoice 1002 paid|Jane|1750.00
2024-07-09|15:55:12|rideshare|Uber|-22.80
2024-10-30|19:42:38|movie tickets|AMC|-26.00
2025-01-04|07:45:20|breakfast|Dunkin|-7.25
2025-02-18|13:28:44|book purchase|Barnes & Noble|-32.99
2025-03-27|16:11:59|electric bill|Duke Energy|-95.00
2025-04-12|20:05:33|online sale|Etsy|120.00
2025-05-21|10:18:07|groceries|Walmart|-89.40
2025-06-14|18:50:26|restaurant|Applebee's|-45.75
2025-07-29|12:33:11|gas refill|Shell|-52.60
2025-08-10|09:14:52|subscription|Netflix|-15.99
2025-09-23|17:26:48|freelance payment|Fiverr|650.00
2025-11-05|21:09:36|concert ticket|Ticketmaster|-120.00
2026-01-08|08:05:41|gym membership|Planet Fitness|-25.00
2026-02-16|14:37:22|invoice 1003 paid|Alex|2100.00
2026-03-11|11:22:10|groceries|Target|-98.75
2026-03-28|19:55:03|dinner|Chipotle|-18.60
2026-04-02|10:40:27|internet bill|Spectrum|-75.00
2026-04-14|16:12:58|rideshare|Uber|-19.45
2026-04-20|20:30:19|online sale|Shopify|340.00
2026-04-25|09:08:44|coffee|Starbucks|-6.50
2026-04-27|18:21:35|movie tickets|AMC|-28.00
2026-04-30|11:40:40|refund|Amazon|500.00
2026-04-30|11:41:26|rent|surise apt|-1200.00